police officers&titleId=0&totalTokens=290187&title=police officers, home secretary, police forces, metropolitan police, antisocial behaviour, home office, chief constable, police crime commissioners, home affairs, organised crime&weight=0.025549310168625446&frequency=1200
part united kingdom&titleId=13&totalTokens=166016&title=northern ireland, secretary state, united kingdom, northern ireland executive, sinn fein, northern ireland assembly, republic ireland, prime minister, people northern ireland, bloody sunday&weight=2.1168501270110075E-4&frequency=6
police fire&titleId=13&totalTokens=166016&title=northern ireland, secretary state, united kingdom, northern ireland executive, sinn fein, northern ireland assembly, republic ireland, prime minister, people northern ireland, bloody sunday&weight=2.1168501270110075E-4&frequency=6
agreement reached&titleId=13&totalTokens=166016&title=northern ireland, secretary state, united kingdom, northern ireland executive, sinn fein, northern ireland assembly, republic ireland, prime minister, people northern ireland, bloody sunday&weight=2.1168501270110075E-4&frequency=6
power sharing&titleId=13&totalTokens=166016&title=northern ireland, secretary state, united kingdom, northern ireland executive, sinn fein, northern ireland assembly, republic ireland, prime minister, people northern ireland, bloody sunday&weight=2.1168501270110075E-4&frequency=6
representatives northern ireland&titleId=13&totalTokens=166016&title=northern ireland, secretary state, united kingdom, northern ireland executive, sinn fein, northern ireland assembly, republic ireland, prime minister, people northern ireland, bloody sunday&weight=2.1168501270110075E-4&frequency=6
lamppost fined&titleId=13&totalTokens=166016&title=northern ireland, secretary state, united kingdom, northern ireland executive, sinn fein, northern ireland assembly, republic ireland, prime minister, people northern ireland, bloody sunday&weight=2.1168501270110075E-4&frequency=6
assessment made&titleId=13&totalTokens=166016&title=northern ireland, secretary state, united kingdom, northern ireland executive, sinn fein, northern ireland assembly, republic ireland, prime minister, people northern ireland, bloody sunday&weight=2.1168501270110075E-4&frequency=6
security forces&titleId=13&totalTokens=166016&title=northern ireland, secretary state, united kingdom, northern ireland executive, sinn fein, northern ireland assembly, republic ireland, prime minister, people northern ireland, bloody sunday&weight=2.1168501270110075E-4&frequency=6
build future&titleId=13&totalTokens=166016&title=northern ireland, secretary state, united kingdom, northern ireland executive, sinn fein, northern ireland assembly, republic ireland, prime minister, people northern ireland, bloody sunday&weight=2.1168501270110075E-4&frequency=6
security situation northern ireland&titleId=13&totalTokens=166016&title=northern ireland, secretary state, united kingdom, northern ireland executive, sinn fein, northern ireland assembly, republic ireland, prime minister, people northern ireland, bloody sunday&weight=2.1168501270110075E-4&frequency=6
justice policing&titleId=13&totalTokens=166016&title=northern ireland, secretary state, united kingdom, northern ireland executive, sinn fein, northern ireland assembly, republic ireland, prime minister, people northern ireland, bloody sunday&weight=2.1168501270110075E-4&frequency=6
terrorist attacks&titleId=13&totalTokens=166016&title=northern ireland, secretary state, united kingdom, northern ireland executive, sinn fein, northern ireland assembly, republic ireland, prime minister, people northern ireland, bloody sunday&weight=2.1168501270110075E-4&frequency=6
irish relations&titleId=13&totalTokens=166016&title=northern ireland, secretary state, united kingdom, northern ireland executive, sinn fein, northern ireland assembly, republic ireland, prime minister, people northern ireland, bloody sunday&weight=2.1168501270110075E-4&frequency=6
place northern ireland&titleId=13&totalTokens=166016&title=northern ireland, secretary state, united kingdom, northern ireland executive, sinn fein, northern ireland assembly, republic ireland, prime minister, people northern ireland, bloody sunday&weight=2.1168501270110075E-4&frequency=6
international development&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=0.007182188173330141&frequency=390
sri lanka&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=0.005211690392442128&frequency=283
international community&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=0.0040146590302204375&frequency=218
human rights&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=0.003996243163109335&frequency=217
developing countries&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=0.0036095099537761734&frequency=196
united nations&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=0.002449310325776689&frequency=133
sri lankan&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=0.0023572309902211747&frequency=128
united kingdom&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=0.002320399255998969&frequency=126
foreign secretary&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=0.0020994088506657337&frequency=114
death penalty&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=0.001988913647999116&frequency=108
falkland islands&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=0.0016574280399992633&frequency=90
sierra leone&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=0.0014548535017771312&frequency=79
humanitarian aid&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=0.0012706948306661018&frequency=69
aung san suu kyi&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=0.001252278963554999&frequency=68
millennium development goals&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=0.001252278963554999&frequency=68
foreign office&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=0.0011417837608883813&frequency=62
south africa&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=0.0011233678937772784&frequency=61
governmental organisations&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=0.001031288558221764&frequency=56
developing world&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=0.001012872691110661&frequency=55
overseas territories&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=0.001012872691110661&frequency=55
sri lankan government&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=9.94456823999558E-4&frequency=54
women girls&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=9.392092226662492E-4&frequency=51
red cross&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=9.207933555551464E-4&frequency=50
united states&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=8.471298871107347E-4&frequency=46
countries world&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=8.287140199996317E-4&frequency=45
falkland islanders&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=8.287140199996317E-4&frequency=45
prime minister&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=8.102981528885288E-4&frequency=44
foreign commonwealth&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=7.918822857774259E-4&frequency=43
uk government&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=7.734664186663229E-4&frequency=42
horn africa&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=7.734664186663229E-4&frequency=42
development assistance&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=7.734664186663229E-4&frequency=42
sexual violence&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=7.5505055155522E-4&frequency=41
department international development&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=6.813870831108083E-4&frequency=37
secretary state&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=6.813870831108083E-4&frequency=37
burmese government&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=6.445553488886025E-4&frequency=35
overseas aid&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=6.261394817774995E-4&frequency=34
south sudan&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=6.261394817774995E-4&frequency=34
women rights&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=6.077236146663966E-4&frequency=33
hiv aids&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=5.893077475552937E-4&frequency=32
china india&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=5.893077475552937E-4&frequency=32
multilateral aid&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=5.893077475552937E-4&frequency=32
foreign commonwealth office&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=5.893077475552937E-4&frequency=32
british government&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=5.708918804441907E-4&frequency=31
african countries&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=5.708918804441907E-4&frequency=31
indian government&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=5.340601462219849E-4&frequency=29
india pakistan&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=5.340601462219849E-4&frequency=29
development goals&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=5.340601462219849E-4&frequency=29
development aid&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=5.15644279110882E-4&frequency=28
saharan africa&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=5.15644279110882E-4&frequency=28
commonwealth office&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=5.15644279110882E-4&frequency=28
amnesty international&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=4.97228411999779E-4&frequency=27
international aid&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=4.97228411999779E-4&frequency=27
uk aid&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=4.97228411999779E-4&frequency=27
african union&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=4.97228411999779E-4&frequency=27
dalai lama&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=4.7881254488867607E-4&frequency=26
president obama&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=4.603966777775732E-4&frequency=25
foreign affairs&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=4.603966777775732E-4&frequency=25
turks caicos islands&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=4.603966777775732E-4&frequency=25
commonwealth countries&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=4.419808106664702E-4&frequency=24
democratic republic congo&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=4.2356494355536733E-4&frequency=23
robert mugabe&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=4.2356494355536733E-4&frequency=23
republic congo&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=4.2356494355536733E-4&frequency=23
economic development&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=4.2356494355536733E-4&frequency=23
international partners&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=4.2356494355536733E-4&frequency=23
british aid&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=4.051490764442644E-4&frequency=22
poorest countries&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=4.051490764442644E-4&frequency=22
international women&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=4.051490764442644E-4&frequency=22
world bank&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=3.867332093331614E-4&frequency=21
sikh community&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=3.867332093331614E-4&frequency=21
humanitarian assistance&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=3.867332093331614E-4&frequency=21
aid workers&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=3.867332093331614E-4&frequency=21
somali community&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=3.6831734222205853E-4&frequency=20
morgan tsvangirai&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=3.6831734222205853E-4&frequency=20
human trafficking&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=3.6831734222205853E-4&frequency=20
milton keynes&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=3.499014751109556E-4&frequency=19
poor countries&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=3.499014751109556E-4&frequency=19
afghanistan pakistan&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=3.499014751109556E-4&frequency=19
zanu pf&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=3.499014751109556E-4&frequency=19
violence conflict&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=3.499014751109556E-4&frequency=19
india china&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=3.499014751109556E-4&frequency=19
girls women&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=3.499014751109556E-4&frequency=19
ki moon&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=3.499014751109556E-4&frequency=19
bilateral aid&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=3.314856079998527E-4&frequency=18
humanitarian relief&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=3.314856079998527E-4&frequency=18
president mugabe&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=3.314856079998527E-4&frequency=18
genital mutilation&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=3.314856079998527E-4&frequency=18
malloch brown&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=3.1306974088874973E-4&frequency=17
men women&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=3.1306974088874973E-4&frequency=17
overseas development&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=3.1306974088874973E-4&frequency=17
water sanitation&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=3.1306974088874973E-4&frequency=17
climate change&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=3.1306974088874973E-4&frequency=17
latin america&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=2.9465387377764683E-4&frequency=16
human rights defenders&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=2.9465387377764683E-4&frequency=16
red crystal&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=2.9465387377764683E-4&frequency=16
government sudan&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=2.9465387377764683E-4&frequency=16
aid agencies&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=2.9465387377764683E-4&frequency=16
violence women&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=2.9465387377764683E-4&frequency=16
civil society&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=2.9465387377764683E-4&frequency=16
security council&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=2.9465387377764683E-4&frequency=16
humanitarian crisis&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=2.9465387377764683E-4&frequency=16
lankan government&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=2.762380066665439E-4&frequency=15
professor bhullar&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=2.762380066665439E-4&frequency=15
commonwealth heads&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=2.762380066665439E-4&frequency=15
hayes harlington&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=2.762380066665439E-4&frequency=15
tamil community&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=2.762380066665439E-4&frequency=15
free fair&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=2.762380066665439E-4&frequency=15
millennium development&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=2.762380066665439E-4&frequency=15
conflict situations&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=2.762380066665439E-4&frequency=15
mau mau&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=2.762380066665439E-4&frequency=15
southampton itchen&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=2.57822139555441E-4&frequency=14
rights abuses&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=2.57822139555441E-4&frequency=14
pakistan india&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=2.57822139555441E-4&frequency=14
sanitation hygiene&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=2.57822139555441E-4&frequency=14
parts world&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=2.57822139555441E-4&frequency=14
international law&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=2.57822139555441E-4&frequency=14
progress made&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=2.57822139555441E-4&frequency=14
colombian government&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=2.57822139555441E-4&frequency=14
hazara community&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=2.57822139555441E-4&frequency=14
part world&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=2.57822139555441E-4&frequency=14
sudan south sudan&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=2.57822139555441E-4&frequency=14
southern africa&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=2.3940627244433804E-4&frequency=13
pay tribute&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=2.3940627244433804E-4&frequency=13
rule law&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=2.3940627244433804E-4&frequency=13
state international development&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=2.3940627244433804E-4&frequency=13
government sri lanka&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=2.3940627244433804E-4&frequency=13
government pakistan&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=2.3940627244433804E-4&frequency=13
neighbouring countries&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=2.3940627244433804E-4&frequency=13
women children&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=2.3940627244433804E-4&frequency=13
london conference&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=2.3940627244433804E-4&frequency=13
sutton coldfield&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=2.209904053332351E-4&frequency=12
sudanese government&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=2.209904053332351E-4&frequency=12
lindsay sandiford&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=2.209904053332351E-4&frequency=12
british overseas territories&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=2.209904053332351E-4&frequency=12
international humanitarian&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=2.209904053332351E-4&frequency=12
sri lankans&titleId=14&totalTokens=321068&title=international development, sri lanka, international community, human rights, developing countries, united nations, sri lankan, united kingdom, foreign secretary, death penalty&weight=2.209904053332351E-4&frequency=12
